Lieu;Département;Série;Unité;Année;Valeur
Alsace;42;Aluminium;t/an;1999;0.0
Alsace;42;Aluminium;t/an;2000;0.0
Alsace;42;Aluminium;t/an;2001;0.0
Alsace;42;Aluminium;t/an;2002;18.285
Alsace;42;Aluminium;t/an;2004;2.276
Alsace;42;Aluminium;t/an;2005;2.705
Alsace;42;Aluminium;t/an;2006;2.357
Alsace;42;Aluminium;t/an;2007;3.21
Alsace;42;Aluminium;t/an;2008;7.716
Alsace;42;Aluminium;t/an;2009;4.383
Alsace;42;AOX OU EOX;t/an;1999;7.0
Alsace;42;AOX OU EOX;t/an;2000;15.6
Alsace;42;AOX OU EOX;t/an;2001;38.13
Alsace;42;AOX OU EOX;t/an;2002;16.23
Alsace;42;AOX OU EOX;t/an;2004;23.567
Alsace;42;AOX OU EOX;t/an;2005;26.475
Alsace;42;AOX OU EOX;t/an;2006;22.41
Alsace;42;AOX OU EOX;t/an;2007;23.249
Alsace;42;AOX OU EOX;t/an;2008;22.152
Alsace;42;AOX OU EOX;t/an;2009;30.864
Alsace;42;Arsenic;kg/an;1999;7097.0
Alsace;42;Arsenic;kg/an;2000;6172.0
Alsace;42;Arsenic;kg/an;2001;4898.0
Alsace;42;Arsenic;kg/an;2002;3349.0
Alsace;42;Arsenic;kg/an;2004;2441.5
Alsace;42;Arsenic;kg/an;2005;2353.955
Alsace;42;Arsenic;kg/an;2006;2192.0
Alsace;42;Arsenic;kg/an;2007;7.81
Alsace;42;Arsenic;kg/an;2008;5.51
Alsace;42;Arsenic;kg/an;2009;42.94
Alsace;42;Azote (sauf épandage);t/an;1999;360.0
Alsace;42;Azote (sauf épandage);t/an;2000;3971.0
Alsace;42;Azote (sauf épandage);t/an;2001;3759.6
Alsace;42;Azote (sauf épandage);t/an;2002;4009.889
Alsace;42;Azote (sauf épandage);t/an;2004;3937.697
Alsace;42;Azote (sauf épandage);t/an;2005;2817.254
Alsace;42;Azote (sauf épandage);t/an;2006;2819.732
Alsace;42;Azote (sauf épandage);t/an;2007;2517.051
Alsace;42;Azote (sauf épandage);t/an;2008;3084.225
Alsace;42;Azote (sauf épandage);t/an;2009;2268.739
Alsace;42;Azote (y compris épandage);t/an;1999;360.0
